iter	Passed	Remaining
861	1778	284
862	1779	282
863	1781	280
864	1783	278
865	1785	276
866	1786	274
867	1788	271
868	1790	269
869	1791	267
870	1793	265
871	1795	263
872	1796	261
873	1799	259
874	1801	257
875	1802	255
876	1804	253
877	1805	250
878	1807	248
879	1808	246
880	1810	244
881	1812	242
882	1814	240
883	1815	238
884	1817	236
885	1819	234
886	1820	231
887	1822	229
888	1823	227
889	1825	225
890	1828	223
891	1830	221
892	1831	219
893	1833	217
894	1835	215
895	1836	213
896	1838	211
897	1839	208
898	1842	207
899	1844	204
900	1845	202
901	1847	200
902	1848	198
903	1850	196
904	1851	194
905	1853	192
906	1854	190
907	1857	188
908	1859	186
909	1861	184
910	1862	181
911	1864	179
912	1865	177
913	1867	175
914	1868	173
915	1871	171
916	1873	169
917	1875	167
918	1876	165
919	1878	163
920	1880	161
921	1881	159
922	1883	157
923	1885	155
924	1887	153
925	1889	150
926	1890	148
927	1892	146
928	1893	144
929	1895	142
930	1896	140
931	1898	138
932	1901	136
933	1902	134
934	1904	132
935	1905	130
936	1907	128
937	1909	126
938	1910	124
939	1912	122
940	1913	119
941	1916	118
942	1918	115
943	1919	113
944	1921	111
945	1922	109
946	1924	107
947	1925	105
948	1927	103
949	1930	101
950	1931	99
951	1933	97
952	1935	95
953	1937	93
954	1939	91
955	1940	89
956	1942	87
957	1946	85
958	1948	83
959	1950	81
960	1952	79
961	1953	77
962	1955	75
963	1956	73
964	1958	71
965	1961	69
966	1962	66
967	1964	64
968	1965	62
969	1967	60
970	1968	58
971	1970	56
972	1971	54
973	1974	52
974	1976	50
975	1978	48
976	1979	46
977	1981	44
978	1983	42
979	1985	40
980	1986	38
981	1989	36
982	1991	34
983	1992	32
984	1994	30
985	1996	28
986	1997	26
987	1999	24
988	2000	22
989	2002	20
990	2004	18
991	2006	16
992	2007	14
993	2009	12
994	2011	10
995	2012	8
996	2014	6
997	2015	4
998	2018	2
999	2020	0
